time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448400000	20.2073	13.7798	4.84073	1.74681	0.547288	lidar	1.35625	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1511	14.0078	4.82546	1.78443	0.570255	radar	0.790891	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.096	14.2619	4.85452	1.81304	0.569395	lidar	0.343932	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0242	14.4914	4.85142	1.84323	0.567159	radar	1.36197	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9154	14.745	4.89724	1.88692	0.583396	lidar	1.10489	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8499	14.9637	4.8768	1.89968	0.544764	radar	3.43337	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8211	15.1812	4.83614	1.90692	0.52321	lidar	2.25762	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6862	15.3903	4.81868	1.99374	0.663996	radar	7.57974	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6573	15.578	4.73722	2.0011	0.636908	lidar	3.80227	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5648	15.7837	4.72148	2.02475	0.618648	radar	1.41024	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4608	15.9964	4.72333	2.05441	0.617125	lidar	0.0199399	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3608	16.2055	4.71953	2.06482	0.566123	radar	1.92373	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2518	16.3827	4.67544	2.09466	0.569412	lidar	0.692113	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.134	16.5794	4.66862	2.12418	0.573116	radar	0.275189	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0041	16.7893	4.69015	2.15247	0.571988	lidar	0.138112	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8463	16.9803	4.70596	2.21831	0.663546	radar	6.31232	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6717	17.2147	4.79506	2.25335	0.662662	lidar	1.84935	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5716	17.4211	4.77197	2.22618	0.526675	radar	6.21873	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3582	17.6129	4.83325	2.27334	0.547903	lidar	3.80518	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2218	17.8056	4.82439	2.27175	0.479444	radar	2.08912	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0922	17.9927	4.80525	2.28582	0.46901	lidar	0.894836	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9154	18.1459	4.78967	2.3345	0.524057	radar	2.22937	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7855	18.289	4.71978	2.35523	0.519855	lidar	1.10517	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6522	18.4702	4.70364	2.36119	0.487639	radar	6.54513	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4585	18.6526	4.75095	2.38831	0.489463	lidar	0.485248	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2772	18.7928	4.73565	2.42695	0.519653	radar	1.85979	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1166	18.9298	4.69652	2.45123	0.518716	lidar	0.325485	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9492	19.1002	4.70468	2.46241	0.493931	radar	2.96577	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7324	19.216	4.70703	2.5037	0.512514	lidar	2.7619	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
